pl_pnum	pl_orbper	pl_orbsmax	pl_orbeccen	pl_orbincl	pl_bmassj	st_metfe
2	4.822962	0.057				-0.051
3	4.585512	0.057				0.02
2	7.061149	0.057				0.102
2	4.915379	0.057				
2	4.612696	0.057				-0.325
2	4.920199	0.057				-0.151
1	4.927	0.057		55	0.7	
1	4.942782	0.05714	0.06	87.44	0.66	0.36
1	4.73401	0.0573	0.18		0.18689	0.33
1	4.60497	0.0574	0.152		0.12522	0.43
1	4.37809	0.0574	0.22	87.8	0.38	
1	4.641878	0.0575	0	85.9	1.044	0.27
1	4.463129	0.0577	0.123	85.5	0.493	0.3
1	4.86069	0.0578	0	84.5	0.27	-0.01
1	6.10224	0.0579				
1	7.3709	0.058	0.08		0.018	-0.22
1	4.94737	0.058	0.087		0.105	0.31
3	5.03503	0.058				-0.125
4	5.433074	0.058				0.072
4	5.925003	0.058				-0.309
3	5.349555	0.058				-0.145
3	7.113702	0.058				0.221
2	6.668391	0.058				-0.67
2	6.827766	0.058				-0.48
1	4.54216875	0.05885	0	86.46	0.475	0.1
4	4.901425	0.059				-0.092
2	4.938864	0.059				-0.345
4	5.690586	0.059				-0.413
2	5.923653	0.059				0.415
2	5.341853	0.059				-0.297
1	4.971252	0.059	0	88.9	0.3	0.29
1	7.06599	0.0591				
3	4.617033	0.059222	0.0215		0.6876	
2	5.605	0.0596				
2	5.317429	0.06				
4	5.599308	0.06				-0.533
3	6.87745	0.06				0.028
3	5.419026	0.06				-0.178
4	5.195528	0.06				-0.139
2	5.535309	0.06				-0.272
5	6.189392	0.06	0.18	88.16		-0.55
1	4.8996284	0.06	0	85.56	0.311	-0.008
1	5.20851	0.0603	0.047	88.1	0.484	0.15
1	4.627669	0.0606	0.107	83.5	2.232	0.11
1	4.8854892	0.06067		85.161	0.441	0.11
1	5.06965	0.06069				
3	8.63182	0.0607	0.073		0.03335	0.1
1	5.322023	0.0607	0	85	0.27	-0.18
1	4.457243	0.0608	0	88.3	0.615	
3	5.370647	0.061				-0.107
2	5.326718	0.061				0.02
3	6.057342	0.061				-0.161
4	5.914323	0.061				-0.165
2	5.524242	0.061				0.258
2	7.416397	0.061				-0.572
3	5.470319	0.061				-0.074
2	7.054346	0.061				-0.163
1	4.637038	0.0611	0.581	87.3	0.53	0.09
1	5.7361	0.0614	0.09		0.05	
1	6.68796	0.0617				
1	5.35227	0.0618	0.33	85.01	0.535	0.19
1	4.954658	0.0618	0	89.6	0.96	
1	6.53044	0.0619				
5	6.195469	0.062				0.238
2	6.04045	0.062				0.106
3	6.252972	0.062				-0.109
2	5.715442	0.062				0.241
2	5.9123	0.062			1.51	0.34
1	5.924262	0.062	0	88.9	0.117	0.2
1	5.084298	0.06206	0	88.1	0.95	0.22
1	5.35117	0.0621	0	86.2	0.02706	-0.53
1	4.736529	0.06229	0	85.8	0.195	0.18
1	8.36802	0.0627				-0.37
1	5.748145	0.0628	0.096	87.7	1	0.15
1	6.21229	0.063	0	88.4	0.22	0.3
3	5.714606	0.063				0.212
3	6.475434	0.063				0.051
4	5.902206	0.063				-0.014
2	5.77152	0.0634	0.172		0.02026	0.19
1	5.24	0.0635	0.01		0.28	0.25
2	6.67202	0.0636				
6	6.09852281	0.0639		87.632		0.07
5	5.766193	0.064				-0.202
2	6.40013	0.064				-0.01
2	5.687945	0.064				0.026
3	5.826662	0.064				-0.191
4	5.839172	0.064				0.061
2	6.186676	0.064				-0.063
2	5.960392	0.064				0.157
6	5.75969	0.06412	0.073		0.0416	0.08
1	4.954	0.06431	0	88	0.56	-0.08
5	7.05246	0.0648		89.34	0.0218	0.04
3	5.374943	0.065				
4	7.824904	0.065				0.087
2	8.295611	0.065				0.119
3	6.097326	0.065				-0.219
2	5.700786	0.065				0.07
3	8.457496	0.065				-0.85
2	5.929778	0.065				-0.091
2	8.410894	0.065				-0.194
2	6.738088	0.065				-0.539
1	4.8101025	0.06505	0	88.8	0.34	-0.08
1	5.65688	0.0651				
6	6.76458	0.0653	0.062	87.28	0.01372	0.11
1	10.13389	0.0653		88.77	0.03458	0.11
3	6.42904	0.0654		87.37		-0.03
1	6.404	0.0659	0.107		0.248	0.078
1	7.78287	0.066	0.22		6.37	0.3
1	8.7836	0.066	0		0.026	0.15
2	5.4122	0.066	0.47	85.94		-0.19
2	5.885273	0.066				-0.326
